season,date,team1,team2,toss_winner,toss_decision,winner,venue
2013/14,3/5/2014,Afghanistan,India,India,field,India,Shere Bangla National Stadium
2013/14,3/5/2014,West Indies,England,West Indies,field,England,"Sir Vivian Richards Stadium, North Sound"
2013/14,3/4/2014,Bangladesh,Pakistan,Bangladesh,bat,Pakistan,Shere Bangla National Stadium
2013/14,3/3/2014,Afghanistan,Sri Lanka,Sri Lanka,bat,Sri Lanka,Shere Bangla National Stadium
2013/14,3/2/2014,India,Pakistan,Pakistan,field,Pakistan,Shere Bangla National Stadium
2013/14,3/2/2014,West Indies,England,England,field,England,"Sir Vivian Richards Stadium, North Sound"
2013/14,3/1/2014,Bangladesh,Afghanistan,Bangladesh,field,Afghanistan,Khan Shaheb Osman Ali Stadium
2013/14,2/28/2014,India,Sri Lanka,Sri Lanka,field,Sri Lanka,Khan Shaheb Osman Ali Stadium
2013/14,2/28/2014,West Indies,England,England,field,West Indies,"Sir Vivian Richards Stadium, North Sound"
2013/14,2/27/2014,Afghanistan,Pakistan,Afghanistan,field,Pakistan,Khan Shaheb Osman Ali Stadium
2013/14,2/26/2014,Bangladesh,India,India,field,India,Khan Shaheb Osman Ali Stadium
2013/14,2/25/2014,Pakistan,Sri Lanka,Sri Lanka,bat,Sri Lanka,Khan Shaheb Osman Ali Stadium
2013/14,2/23/2014,West Indies,Ireland,Ireland,bat,West Indies,"Sabina Park, Kingston"
2013/14,2/22/2014,Bangladesh,Sri Lanka,Sri Lanka,field,Sri Lanka,Shere Bangla National Stadium
2013/14,2/20/2014,Bangladesh,Sri Lanka,Sri Lanka,bat,Sri Lanka,Shere Bangla National Stadium
2013/14,2/17/2014,Bangladesh,Sri Lanka,Bangladesh,field,Sri Lanka,Shere Bangla National Stadium
2013/14,1/31/2014,New Zealand,India,India,field,New Zealand,Westpac Stadium
2013/14,1/30/2014,Kenya,Scotland,Kenya,bat,Scotland,Hagley Oval
2013/14,1/28/2014,Canada,Netherlands,Canada,bat,Netherlands,Bay Oval
2013/14,1/28/2014,New Zealand,India,India,bat,New Zealand,Seddon Park
2013/14,1/26/2014,Australia,England,Australia,bat,Australia,Adelaide Oval
2013/14,1/25/2014,New Zealand,India,India,field,,Eden Park
2013/14,1/24/2014,Australia,England,Australia,field,England,Western Australia Cricket Association Ground
2013/14,1/23/2014,Netherlands,Kenya,Kenya,field,Kenya,Bert Sutcliffe Oval
2013/14,1/23/2014,Scotland,Canada,Canada,field,Scotland,Hagley Oval
2013/14,1/22/2014,New Zealand,India,India,field,New Zealand,Seddon Park
2013/14,1/19/2014,New Zealand,India,India,field,New Zealand,McLean Park
2013/14,1/19/2014,Australia,England,England,bat,Australia,Sydney Cricket Ground
2013/14,1/17/2014,Australia,England,England,bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
2013/14,1/12/2014,Australia,England,England,bat,Australia,Melbourne Cricket Ground
2013/14,1/8/2014,New Zealand,West Indies,New Zealand,field,West Indies,Seddon Park
2013/14,1/4/2014,New Zealand,West Indies,New Zealand,bat,New Zealand,Saxton Oval
2013/14,1/1/2014,New Zealand,West Indies,West Indies,field,New Zealand,Queenstown Events Centre
2013/14,12/27/2013,Pakistan,Sri Lanka,Pakistan,bat,Sri Lanka,Sheikh Zayed Stadium
2013/14,12/26/2013,New Zealand,West Indies,West Indies,field,West Indies,Eden Park
2013/14,12/25/2013,Pakistan,Sri Lanka,Sri Lanka,bat,Pakistan,Sheikh Zayed Stadium
2013/14,12/22/2013,Pakistan,Sri Lanka,Sri Lanka,field,Pakistan,Sharjah Cricket Stadium
2013/14,12/20/2013,Pakistan,Sri Lanka,Sri Lanka,field,Sri Lanka,Dubai International Cricket Stadium
2013/14,12/18/2013,Pakistan,Sri Lanka,Pakistan,bat,Pakistan,Sharjah Cricket Stadium
2013/14,12/11/2013,South Africa,India,South Africa,bat,,SuperSport Park
2013/14,12/8/2013,South Africa,India,India,field,South Africa,Kingsmead
2013/14,12/5/2013,South Africa,India,India,field,South Africa,New Wanderers Stadium
2013/14,11/30/2013,South Africa,Pakistan,South Africa,field,South Africa,SuperSport Park
2013/14,11/27/2013,South Africa,Pakistan,South Africa,field,Pakistan,St George's Park
2013/14,11/27/2013,India,West Indies,India,field,India,Green Park
2013/14,11/24/2013,India,West Indies,West Indies,field,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2013/14,11/24/2013,South Africa,Pakistan,Pakistan,bat,Pakistan,Newlands
2013/14,11/21/2013,India,West Indies,West Indies,bat,India,Nehru Stadium
2013/14,11/16/2013,Sri Lanka,New Zealand,New Zealand,field,Sri Lanka,Rangiri Dambulla International Stadium
2013/14,11/12/2013,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2013/14,11/11/2013,Pakistan,South Africa,South Africa,bat,South Africa,Sharjah Cricket Stadium
2013/14,11/10/2013,Sri Lanka,New Zealand,New Zealand,field,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2013/14,11/8/2013,Pakistan,South Africa,South Africa,bat,South Africa,Sheikh Zayed Stadium
2013/14,11/6/2013,Pakistan,South Africa,South Africa,bat,South Africa,Sheikh Zayed Stadium
2013/14,11/3/2013,Bangladesh,New Zealand,Bangladesh,field,Bangladesh,Khan Shaheb Osman Ali Stadium
2013/14,11/2/2013,India,Australia,Australia,field,India,M Chinnaswamy Stadium
2013/14,11/1/2013,Pakistan,South Africa,Pakistan,bat,Pakistan,Dubai International Cricket Stadium
2013/14,10/31/2013,Bangladesh,New Zealand,Bangladesh,bat,Bangladesh,Shere Bangla National Stadium
2013/14,10/30/2013,Pakistan,South Africa,South Africa,bat,South Africa,Sharjah Cricket Stadium
2013/14,10/30/2013,India,Australia,India,field,India,"Vidarbha Cricket Association Stadium, Jamtha"
2013/14,10/29/2013,Bangladesh,New Zealand,New Zealand,field,Bangladesh,Shere Bangla National Stadium
2013/14,10/23/2013,India,Australia,India,field,,JSCA International Stadium Complex
2013/14,10/19/2013,India,Australia,Australia,field,Australia,"Punjab Cricket Association Stadium, Mohali"
2013/14,10/16/2013,India,Australia,Australia,bat,India,Sawai Mansingh Stadium
2013/14,10/13/2013,India,Australia,Australia,bat,Australia,Maharashtra Cricket Association Stadium
2013,9/16/2013,England,Australia,Australia,bat,Australia,The Rose Bowl
2013,9/14/2013,England,Australia,England,field,England,Sophia Gardens
2013,9/11/2013,England,Australia,Australia,field,,Edgbaston
2013,9/8/2013,England,Australia,England,field,Australia,Old Trafford
2013,9/6/2013,Ireland,Scotland,Scotland,bat,Ireland,"Civil Service Cricket Club, Stormont"
2013,9/3/2013,Ireland,England,England,field,England,"The Village, Malahide"
2013,8/31/2013,Zimbabwe,Pakistan,Zimbabwe,field,Pakistan,Harare Sports Club
2013,8/29/2013,Canada,Netherlands,Netherlands,field,Netherlands,Maple Leaf North-West Ground
2013,8/29/2013,Zimbabwe,Pakistan,Zimbabwe,field,Pakistan,Harare Sports Club
2013,8/28/2013,Canada,Netherlands,Canada,field,,Maple Leaf North-West Ground
2013,8/27/2013,Zimbabwe,Pakistan,Pakistan,bat,Zimbabwe,Harare Sports Club
2013,8/3/2013,Zimbabwe,India,India,field,India,Queens Sports Club
2013,8/1/2013,Zimbabwe,India,India,field,India,Queens Sports Club
2013,7/31/2013,Sri Lanka,South Africa,Sri Lanka,bat,Sri Lanka,R Premadasa Stadium
2013,7/28/2013,Sri Lanka,South Africa,South Africa,bat,Sri Lanka,Pallekele International Cricket Stadium
2013,7/28/2013,Zimbabwe,India,India,field,India,Harare Sports Club
2013,7/26/2013,Sri Lanka,South Africa,South Africa,bat,South Africa,Pallekele International Cricket Stadium
2013,7/26/2013,Zimbabwe,India,Zimbabwe,field,India,Harare Sports Club
2013,7/24/2013,Zimbabwe,India,India,field,India,Harare Sports Club
2013,7/24/2013,West Indies,Pakistan,Pakistan,field,Pakistan,"Beausejour Stadium, Gros Islet"
2013,7/23/2013,Sri Lanka,South Africa,Sri Lanka,bat,Sri Lanka,R Premadasa Stadium
2013,7/21/2013,West Indies,Pakistan,Pakistan,field,Pakistan,"Beausejour Stadium, Gros Islet"
2013,7/20/2013,Sri Lanka,South Africa,South Africa,field,Sri Lanka,R Premadasa Stadium
2013,7/19/2013,West Indies,Pakistan,West Indies,field,,"Beausejour Stadium, Gros Islet"
2013,7/16/2013,West Indies,Pakistan,Pakistan,field,West Indies,Providence Stadium
2013,7/14/2013,West Indies,Pakistan,West Indies,field,Pakistan,Providence Stadium
2013,7/11/2013,India,Sri Lanka,India,field,India,"Queen's Park Oval, Port of Spain"
2013,7/9/2013,India,Sri Lanka,Sri Lanka,field,India,"Queen's Park Oval, Port of Spain"
2013,7/8/2013,West Indies,Sri Lanka,West Indies,field,Sri Lanka,"Queen's Park Oval, Port of Spain"
2013,7/7/2013,Netherlands,Ireland,Ireland,bat,Ireland,VRA Ground
2013,7/5/2013,West Indies,India,West Indies,field,India,"Queen's Park Oval, Port of Spain"
2013,7/2/2013,India,Sri Lanka,India,field,Sri Lanka,"Sabina Park, Kingston"
2013,6/30/2013,West Indies,India,West Indies,field,West Indies,"Sabina Park, Kingston"
2013,6/28/2013,West Indies,Sri Lanka,West Indies,field,West Indies,"Sabina Park, Kingston"
2013,6/23/2013,England,India,England,field,India,Edgbaston
2013,6/20/2013,India,Sri Lanka,India,field,India,Sophia Gardens
2013,6/19/2013,England,South Africa,England,field,England,Kennington Oval
2013,6/17/2013,Australia,Sri Lanka,Australia,field,Sri Lanka,Kennington Oval
2013,6/16/2013,England,New Zealand,New Zealand,field,England,Sophia Gardens
2013,6/15/2013,India,Pakistan,India,field,India,Edgbaston
2013,6/14/2013,South Africa,West Indies,West Indies,field,,Sophia Gardens
2013,6/13/2013,England,Sri Lanka,Sri Lanka,field,Sri Lanka,Kennington Oval
2013,6/12/2013,Australia,New Zealand,Australia,bat,,Edgbaston
2013,6/11/2013,India,West Indies,India,field,India,Kennington Oval
2013,6/10/2013,Pakistan,South Africa,South Africa,bat,South Africa,Edgbaston
2013,6/9/2013,New Zealand,Sri Lanka,Sri Lanka,bat,New Zealand,Sophia Gardens
2013,6/8/2013,England,Australia,England,bat,England,Edgbaston
2013,6/7/2013,Pakistan,West Indies,West Indies,field,West Indies,Kennington Oval
2013,6/6/2013,India,South Africa,South Africa,field,India,Sophia Gardens
2013,6/5/2013,England,New Zealand,New Zealand,field,England,Trent Bridge
2013,6/2/2013,England,New Zealand,New Zealand,bat,New Zealand,The Rose Bowl
2013,5/31/2013,England,New Zealand,New Zealand,field,New Zealand,Lord's
2013,5/26/2013,Ireland,Pakistan,Pakistan,field,Pakistan,Clontarf Cricket Club Ground
2013,5/23/2013,Ireland,Pakistan,Pakistan,bat,,Clontarf Cricket Club Ground
2013,5/17/2013,Scotland,Pakistan,Pakistan,bat,Pakistan,"Grange Cricket Club Ground, Raeburn Place"
2013,5/8/2013,Zimbabwe,Bangladesh,Zimbabwe,field,Zimbabwe,Queens Sports Club
2013,5/5/2013,Zimbabwe,Bangladesh,Zimbabwe,field,Zimbabwe,Queens Sports Club
2013,5/3/2013,Zimbabwe,Bangladesh,Zimbabwe,field,Bangladesh,Queens Sports Club
2012/13,3/28/2013,Sri Lanka,Bangladesh,Sri Lanka,bat,Bangladesh,Pallekele International Cricket Stadium
2012/13,3/25/2013,Sri Lanka,Bangladesh,Bangladesh,field,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2012/13,3/24/2013,South Africa,Pakistan,Pakistan,bat,South Africa,Willowmoore Park
2012/13,3/23/2013,Sri Lanka,Bangladesh,Sri Lanka,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2012/13,3/21/2013,South Africa,Pakistan,South Africa,bat,Pakistan,Kingsmead
2012/13,3/17/2013,South Africa,Pakistan,Pakistan,field,South Africa,New Wanderers Stadium
2012/13,3/15/2013,South Africa,Pakistan,South Africa,bat,Pakistan,SuperSport Park
2012/13,3/11/2013,Canada,Kenya,Canada,bat,Kenya,ICC Global Cricket Academy
2012/13,3/10/2013,South Africa,Pakistan,Pakistan,field,South Africa,Chevrolet Park
2012/13,2/26/2013,West Indies,Zimbabwe,Zimbabwe,bat,West Indies,"National Cricket Stadium, St George's"
2012/13,2/23/2013,New Zealand,England,England,field,England,Eden Park
2012/13,2/22/2013,West Indies,Zimbabwe,Zimbabwe,field,West Indies,"National Cricket Stadium, St George's"
2012/13,2/20/2013,New Zealand,England,England,field,England,McLean Park
2012/13,2/17/2013,New Zealand,England,New Zealand,field,New Zealand,Seddon Park
2012/13,2/10/2013,Australia,West Indies,West Indies,field,Australia,Melbourne Cricket Ground
2012/13,2/8/2013,Australia,West Indies,West Indies,bat,Australia,Sydney Cricket Ground
2012/13,2/6/2013,Australia,West Indies,Australia,bat,Australia,Manuka Oval
2012/13,2/3/2013,Australia,West Indies,West Indies,field,Australia,Western Australia Cricket Association Ground
2012/13,2/1/2013,Australia,West Indies,West Indies,bat,Australia,Western Australia Cricket Association Ground
2012/13,1/27/2013,India,England,England,field,England,Himachal Pradesh Cricket Association Stadium
2012/13,1/25/2013,South Africa,New Zealand,New Zealand,bat,South Africa,Senwes Park
2012/13,1/23/2013,Australia,Sri Lanka,Sri Lanka,field,Australia,Bellerive Oval
2012/13,1/23/2013,India,England,India,field,India,"Punjab Cricket Association Stadium, Mohali"
2012/13,1/22/2013,South Africa,New Zealand,South Africa,field,New Zealand,De Beers Diamond Oval
2012/13,1/20/2013,Australia,Sri Lanka,Australia,bat,,Sydney Cricket Ground
2012/13,1/19/2013,South Africa,New Zealand,New Zealand,field,New Zealand,Boland Park
2012/13,1/19/2013,India,England,India,field,India,JSCA International Stadium Complex
2012/13,1/18/2013,Australia,Sri Lanka,Australia,bat,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba"
2012/13,1/15/2013,India,England,India,bat,India,Nehru Stadium
2012/13,1/13/2013,Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,Adelaide Oval
2012/13,1/11/2013,India,England,England,bat,England,Saurashtra Cricket Association Stadium
2012/13,1/11/2013,Australia,Sri Lanka,Australia,bat,Australia,Melbourne Cricket Ground
2012/13,1/6/2013,India,Pakistan,India,bat,India,Feroz Shah Kotla
2012/13,1/3/2013,India,Pakistan,India,field,Pakistan,Eden Gardens
2012/13,12/30/2012,India,Pakistan,Pakistan,field,Pakistan,"MA Chidambaram Stadium, Chepauk"
2012/13,12/8/2012,Bangladesh,West Indies,Bangladesh,field,Bangladesh,Shere Bangla National Stadium
2012/13,12/7/2012,Bangladesh,West Indies,Bangladesh,field,West Indies,Shere Bangla National Stadium
2012/13,12/5/2012,Bangladesh,West Indies,West Indies,field,West Indies,Shere Bangla National Stadium
2012/13,12/2/2012,Bangladesh,West Indies,West Indies,field,Bangladesh,Sheikh Abu Naser Stadium
2012/13,11/30/2012,Bangladesh,West Indies,West Indies,bat,Bangladesh,Sheikh Abu Naser Stadium
2012/13,11/12/2012,Sri Lanka,New Zealand,New Zealand,field,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2012/13,11/10/2012,Sri Lanka,New Zealand,Sri Lanka,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2012/13,11/6/2012,Sri Lanka,New Zealand,Sri Lanka,field,Sri Lanka,Pallekele International Cricket Stadium
2012/13,11/4/2012,Sri Lanka,New Zealand,New Zealand,bat,Sri Lanka,Pallekele International Cricket Stadium
2012,9/5/2012,England,South Africa,England,bat,South Africa,Trent Bridge
2012,9/3/2012,Australia,Pakistan,Australia,field,Australia,Sharjah Cricket Stadium
2012,9/2/2012,England,South Africa,England,field,England,Lord's
2012,8/31/2012,Australia,Pakistan,Australia,bat,Pakistan,Sheikh Zayed Stadium
2012,8/31/2012,England,South Africa,South Africa,bat,England,Kennington Oval
2012,8/28/2012,Australia,Pakistan,Pakistan,bat,Australia,Sharjah Cricket Stadium
2012,8/28/2012,England,South Africa,South Africa,bat,South Africa,The Rose Bowl
2012,8/25/2012,Afghanistan,Australia,Australia,bat,Australia,Sharjah Cricket Association Stadium
2012,8/24/2012,England,South Africa,South Africa,field,,Sophia Gardens
2012,8/4/2012,Sri Lanka,India,India,bat,India,Pallekele International Cricket Stadium
2012,7/31/2012,Sri Lanka,India,Sri Lanka,bat,India,R Premadasa Stadium
2012,7/28/2012,Sri Lanka,India,Sri Lanka,bat,India,R Premadasa Stadium
2012,7/24/2012,Sri Lanka,India,India,bat,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2012,7/21/2012,Sri Lanka,India,India,bat,India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2012,7/16/2012,West Indies,New Zealand,West Indies,bat,West Indies,"Warner Park, Basseterre"
2012,7/14/2012,West Indies,New Zealand,West Indies,bat,West Indies,"Warner Park, Basseterre"
2012,7/11/2012,West Indies,New Zealand,West Indies,field,New Zealand,"Warner Park, Basseterre"
2012,7/10/2012,England,Australia,England,field,England,Old Trafford
2012,7/7/2012,England,Australia,England,field,England,Riverside Ground
2012,7/7/2012,West Indies,New Zealand,New Zealand,field,West Indies,"Sabina Park, Kingston"
2012,7/5/2012,West Indies,New Zealand,West Indies,field,West Indies,"Sabina Park, Kingston"
2012,7/5/2012,Ireland,Afghanistan,Afghanistan,field,Ireland,Clontarf Cricket Club Ground
2012,7/1/2012,England,Australia,Australia,bat,England,Kennington Oval
2012,6/29/2012,England,Australia,Australia,field,England,Lord's
2012,6/23/2012,Ireland,Australia,Australia,field,,"Civil Service Cricket Club, Stormont"
2012,6/19/2012,England,West Indies,England,field,England,Kennington Oval
2012,6/18/2012,Sri Lanka,Pakistan,Pakistan,bat,Sri Lanka,R Premadasa Stadium
2012,6/16/2012,Sri Lanka,Pakistan,Sri Lanka,bat,Sri Lanka,R Premadasa Stadium
2012,6/16/2012,England,West Indies,West Indies,field,England,The Rose Bowl
2012,6/13/2012,Sri Lanka,Pakistan,Pakistan,bat,,R Premadasa Stadium
2012,6/9/2012,Sri Lanka,Pakistan,Sri Lanka,bat,Sri Lanka,Pallekele International Cricket Stadium
2012,6/7/2012,Sri Lanka,Pakistan,Sri Lanka,bat,Pakistan,Pallekele International Cricket Stadium
2011/12,3/29/2012,Afghanistan,Netherlands,Afghanistan,bat,Netherlands,Sharjah Cricket Stadium
2011/12,3/25/2012,West Indies,Australia,West Indies,field,Australia,"Beausejour Stadium, Gros Islet"
2011/12,3/23/2012,West Indies,Australia,Australia,field,West Indies,"Beausejour Stadium, Gros Islet"
2011/12,3/22/2012,Bangladesh,Pakistan,Bangladesh,field,Pakistan,Shere Bangla National Stadium
2011/12,3/20/2012,Bangladesh,Sri Lanka,Bangladesh,field,Bangladesh,Shere Bangla National Stadium
2011/12,3/20/2012,West Indies,Australia,Australia,bat,,"Arnos Vale Ground, Kingstown"
2011/12,3/18/2012,India,Pakistan,Pakistan,bat,India,Shere Bangla National Stadium
2011/12,3/18/2012,West Indies,Australia,West Indies,field,West Indies,"Arnos Vale Ground, Kingstown"
2011/12,3/16/2012,Bangladesh,India,Bangladesh,field,Bangladesh,Shere Bangla National Stadium
2011/12,3/16/2012,West Indies,Australia,Australia,bat,Australia,"Arnos Vale Ground, Kingstown"
2011/12,3/15/2012,Pakistan,Sri Lanka,Sri Lanka,bat,Pakistan,Shere Bangla National Stadium
2011/12,3/13/2012,India,Sri Lanka,Sri Lanka,field,India,Shere Bangla National Stadium
2011/12,3/11/2012,Bangladesh,Pakistan,Bangladesh,field,Pakistan,Shere Bangla National Stadium
2011/12,3/8/2012,Australia,Sri Lanka,Sri Lanka,field,Australia,Adelaide Oval
2011/12,3/6/2012,Australia,Sri Lanka,Australia,bat,Sri Lanka,Adelaide Oval
2011/12,3/4/2012,Australia,Sri Lanka,Australia,bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
2011/12,3/3/2012,New Zealand,South Africa,South Africa,field,South Africa,Eden Park
2011/12,3/2/2012,Australia,Sri Lanka,Sri Lanka,bat,Sri Lanka,Melbourne Cricket Ground
2011/12,2/29/2012,New Zealand,South Africa,South Africa,field,South Africa,McLean Park
2011/12,2/28/2012,India,Sri Lanka,India,field,India,Bellerive Oval
2011/12,2/26/2012,Australia,India,Australia,bat,Australia,Sydney Cricket Ground
2011/12,2/25/2012,New Zealand,South Africa,New Zealand,bat,South Africa,Westpac Stadium
2011/12,2/24/2012,Australia,Sri Lanka,Australia,bat,Sri Lanka,Bellerive Oval
2011/12,2/21/2012,England,Pakistan,Pakistan,bat,England,Dubai International Cricket Stadium
2011/12,2/21/2012,India,Sri Lanka,Sri Lanka,bat,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba"
2011/12,2/20/2012,Kenya,Ireland,Ireland,bat,Ireland,Mombasa Sports Club Ground
2011/12,2/19/2012,Australia,India,Australia,bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
2011/12,2/18/2012,England,Pakistan,Pakistan,bat,England,Dubai International Cricket Stadium
2011/12,2/18/2012,Kenya,Ireland,Ireland,bat,Kenya,Mombasa Sports Club Ground
2011/12,2/17/2012,Australia,Sri Lanka,Australia,bat,Sri Lanka,Sydney Cricket Ground
2011/12,2/15/2012,England,Pakistan,England,bat,England,Sheikh Zayed Stadium
2011/12,2/14/2012,India,Sri Lanka,Sri Lanka,bat,,Adelaide Oval
2011/12,2/13/2012,England,Pakistan,England,bat,England,Sheikh Zayed Stadium
2011/12,2/12/2012,Australia,India,Australia,bat,India,Adelaide Oval
2011/12,2/10/2012,Afghanistan,Pakistan,Afghanistan,bat,Pakistan,Sharjah Cricket Stadium
2011/12,2/10/2012,Australia,Sri Lanka,Sri Lanka,field,Australia,Western Australia Cricket Association Ground
2011/12,2/9/2012,New Zealand,Zimbabwe,New Zealand,bat,New Zealand,McLean Park
2011/12,2/8/2012,India,Sri Lanka,Sri Lanka,bat,India,Western Australia Cricket Association Ground
2011/12,2/6/2012,New Zealand,Zimbabwe,Zimbabwe,field,New Zealand,Cobham Oval (New)
2011/12,2/5/2012,Australia,India,India,field,Australia,Melbourne Cricket Ground
2011/12,2/3/2012,New Zealand,Zimbabwe,Zimbabwe,field,New Zealand,University Oval
2011/12,1/22/2012,South Africa,Sri Lanka,Sri Lanka,field,Sri Lanka,New Wanderers Stadium
2011/12,1/20/2012,South Africa,Sri Lanka,South Africa,bat,Sri Lanka,De Beers Diamond Oval
2011/12,1/17/2012,South Africa,Sri Lanka,Sri Lanka,bat,South Africa,Chevrolet Park
2011/12,1/14/2012,South Africa,Sri Lanka,South Africa,field,South Africa,Buffalo Park
2011/12,1/11/2012,South Africa,Sri Lanka,South Africa,bat,South Africa,Boland Park
2011/12,12/11/2011,India,West Indies,India,bat,India,"MA Chidambaram Stadium, Chepauk"
2011/12,12/8/2011,India,West Indies,India,bat,India,Holkar Cricket Stadium
2011/12,12/6/2011,Bangladesh,Pakistan,Pakistan,bat,Pakistan,Zahur Ahmed Chowdhury Stadium
2011/12,12/5/2011,India,West Indies,India,field,West Indies,"Sardar Patel Stadium, Motera"
2011/12,12/3/2011,Bangladesh,Pakistan,Pakistan,bat,Pakistan,Shere Bangla National Stadium
2011/12,12/2/2011,India,West Indies,India,field,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2011/12,12/1/2011,Bangladesh,Pakistan,Bangladesh,bat,Pakistan,Shere Bangla National Stadium
2011/12,11/29/2011,India,West Indies,India,field,India,Barabati Stadium
2011/12,11/23/2011,Pakistan,Sri Lanka,Sri Lanka,bat,Pakistan,Sheikh Zayed Stadium
2011/12,11/20/2011,Pakistan,Sri Lanka,Pakistan,bat,Pakistan,Sharjah Cricket Stadium
2011/12,11/18/2011,Pakistan,Sri Lanka,Pakistan,bat,Pakistan,Dubai International Cricket Stadium
2011/12,11/14/2011,Pakistan,Sri Lanka,Sri Lanka,bat,Sri Lanka,Dubai International Cricket Stadium
2011/12,11/11/2011,Pakistan,Sri Lanka,Sri Lanka,bat,Pakistan,Dubai International Cricket Stadium
2011/12,10/28/2011,South Africa,Australia,South Africa,bat,Australia,Kingsmead
2011/12,10/25/2011,Zimbabwe,New Zealand,New Zealand,bat,Zimbabwe,Queens Sports Club
2011/12,10/25/2011,India,England,England,field,India,Eden Gardens
2011/12,10/23/2011,South Africa,Australia,South Africa,bat,South Africa,St George's Park
2011/12,10/23/2011,India,England,England,bat,India,Wankhede Stadium
2011/12,10/22/2011,Zimbabwe,New Zealand,New Zealand,field,New Zealand,Harare Sports Club
2011/12,10/20/2011,Zimbabwe,New Zealand,Zimbabwe,bat,New Zealand,Harare Sports Club
2011/12,10/20/2011,India,England,England,bat,India,"Punjab Cricket Association Stadium, Mohali"
2011/12,10/19/2011,South Africa,Australia,South Africa,field,Australia,SuperSport Park
2011/12,10/18/2011,Bangladesh,West Indies,Bangladesh,field,Bangladesh,Zahur Ahmed Chowdhury Stadium
2011/12,10/17/2011,India,England,England,bat,India,Feroz Shah Kotla
2011/12,10/15/2011,Bangladesh,West Indies,Bangladesh,bat,West Indies,Shere Bangla National Stadium
2011/12,10/14/2011,India,England,India,bat,India,"Rajiv Gandhi International Stadium, Uppal"
2011/12,10/13/2011,Bangladesh,West Indies,Bangladesh,field,West Indies,Shere Bangla National Stadium
2011,9/20/2011,Ireland,Canada,Ireland,bat,Ireland,Clontarf Cricket Club Ground
2011,9/19/2011,Ireland,Canada,Canada,field,Ireland,Clontarf Cricket Club Ground
2011,9/16/2011,England,India,England,field,England,Sophia Gardens
2011,9/14/2011,Zimbabwe,Pakistan,Zimbabwe,field,Pakistan,Harare Sports Club
2011,9/11/2011,England,India,England,field,,Lord's
2011,9/11/2011,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan,Harare Sports Club
2011,9/9/2011,England,India,England,field,England,Kennington Oval
2011,9/8/2011,Zimbabwe,Pakistan,Pakistan,bat,Pakistan,Queens Sports Club
2011,9/6/2011,England,India,England,field,England,The Rose Bowl
2011,9/3/2011,England,India,England,field,,Riverside Ground
2011,8/25/2011,Ireland,England,Ireland,field,England,Clontarf Cricket Club Ground
2011,8/22/2011,Sri Lanka,Australia,Sri Lanka,field,Sri Lanka,R Premadasa Stadium
2011,8/21/2011,Zimbabwe,Bangladesh,Zimbabwe,field,Bangladesh,Queens Sports Club
2011,8/20/2011,Sri Lanka,Australia,Sri Lanka,bat,Australia,R Premadasa Stadium
2011,8/19/2011,Zimbabwe,Bangladesh,Bangladesh,field,Bangladesh,Queens Sports Club
2011,8/16/2011,Zimbabwe,Bangladesh,Bangladesh,field,Zimbabwe,Harare Sports Club
2011,8/16/2011,Sri Lanka,Australia,Australia,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2011,8/14/2011,Zimbabwe,Bangladesh,Zimbabwe,field,Zimbabwe,Harare Sports Club
2011,8/14/2011,Sri Lanka,Australia,Sri Lanka,bat,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2011,8/12/2011,Zimbabwe,Bangladesh,Zimbabwe,field,Zimbabwe,Harare Sports Club
2011,8/10/2011,Sri Lanka,Australia,Sri Lanka,bat,Australia,Pallekele International Cricket Stadium
2011,7/9/2011,England,Sri Lanka,England,bat,England,Old Trafford
2011,7/6/2011,England,Sri Lanka,England,field,England,Trent Bridge
2011,7/3/2011,England,Sri Lanka,England,bat,Sri Lanka,Lord's
2011,7/1/2011,England,Sri Lanka,England,field,Sri Lanka,Headingley
2011,6/29/2011,Scotland,Netherlands,Scotland,field,Scotland,Mannofield Park
2011,6/28/2011,England,Sri Lanka,Sri Lanka,field,England,Kennington Oval
2011,6/16/2011,West Indies,India,West Indies,field,West Indies,"Sabina Park, Kingston"
